,Eastern white pine / eastern hemlock,7,7,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eastern hemlock,4,4,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Balsam fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,White spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red spruce / balsam fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Black spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Tamarack,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Northern white-cedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Longleaf pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Slash pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Loblolly pine,185,79,,,,,,80,,,,,32,,,,,,-,,,,,,,,,,,,,
,Shortleaf pine,17,14,,,,,,1,,,,,2,,,,,,-,,,,,,,,,,,,,
,Virginia pine,88,45,,,,,,28,,,,,18,,,,,,-,,,,,,,,,,,,,
,Sand pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Table Mountain pine,1,1,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pond pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pitch pine,6,4,,,,,,1,,,,,1,,,,,,-,,,,,,,,,,,,,
,Spruce pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eastern redcedar,64,29,,,,,,23,,,,,14,,,,,,-,,,,,,,,,,,,,
,Rocky Mountain juniper,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Juniper woodland,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pinyon / juniper woodland,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Douglas-fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Port-Orford-cedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Ponderosa pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Incense-cedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sugar pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Jeffrey pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Western white pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,White fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Noble fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pacific silver fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Engelmann spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Engelmann spruce / subalpine fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Grand fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Subalpine fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Blue spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Mountain hemlock,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Alaska-yellow-cedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Lodgepole pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Western hemlock,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Western redcedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sitka spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Western larch,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Redwood,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Giant sequoia,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Knobcone pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Bishop pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Monterey pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Whitebark pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Miscellaneous western softwoods,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Western juniper,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,California mixed conifer,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Scotch pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Other exotic softwoods,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Norway spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Introduced larch,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eastern white pine / northern red oak / white ash,23,18,,,,,,4,,,,,1,,,,,,-,,,,,,,,,,,,,
,Eastern redcedar / hardwood,72,27,,,,,,33,,,,,13,,,,,,-,,,,,,,,,,,,,
,Longleaf pine / oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Shortleaf pine / oak,33,28,,,,,,4,,,,,1,,,,,,-,,,,,,,,,,,,,
,Virginia pine / southern red oak,64,40,,,,,,15,,,,,9,,,,,,-,,,,,,,,,,,,,
,Loblolly pine / hardwood,44,28,,,,,,7,,,,,9,,,,,,-,,,,,,,,,,,,,
,Slash pine / hardwood,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Other pine / hardwood,3,2,,,,,,1,,,,,-,,,,,,-,,,,,,,,,,,,,
,Post oak / blackjack oak,61,44,,,,,,11,,,,,8,,,,,,-,,,,,,,,,,,,,
,Chestnut oak,196,180,,,,,,11,,,,,7,,,,,,-,,,,,,,,,,,,,
,White oak / red oak / hickory,677,548,,,,,,97,,,,,41,,,,,,-,,,,,,,,,,,,,
,White oak,141,122,,,,,,17,,,,,3,,,,,,-,,,,,,,,,,,,,
,Northern red oak,17,17,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Yellow-poplar / white oak / northern red oak,163,118,,,,,,25,,,,,20,,,,,,-,,,,,,,,,,,,,
,Sassafras / persimmon,28,13,,,,,,5,,,,,10,,,,,,-,,,,,,,,,,,,,
,Sweetgum / yellow-poplar,131,78,,,,,,35,,,,,20,,,,,,-,,,,,,,,,,,,,
,Bur oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Scarlet oak,36,33,,,,,,2,,,,,1,,,,,,-,,,,,,,,,,,,,
,Yellow-poplar,96,62,,,,,,19,,,,,16,,,,,,-,,,,,,,,,,,,,
,Black walnut,9,2,,,,,,4,,,,,3,,,,,,-,,,,,,,,,,,,,
,Black locust,9,1,,,,,,5,,,,,3,,,,,,-,,,,,,,,,,,,,
,Southern scrub oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Chestnut oak / black oak / scarlet oak,204,173,,,,,,25,,,,,7,,,,,,-,,,,,,,,,,,,,
,Cherry / white ash / yellow-poplar,105,40,,,,,,41,,,,,25,,,,,,-,,,,,,,,,,,,,
,Elm / ash / black locust,74,32,,,,,,18,,,,,25,,,,,,-,,,,,,,,,,,,,
,Red maple / oak,35,20,,,,,,6,,,,,9,,,,,,-,,,,,,,,,,,,,
,Mixed upland hardwoods,208,138,,,,,,36,,,,,36,,,,,,-,,,,,,,,,,,,,
,Swamp chestnut oak / cherrybark oak,22,19,,,,,,2,,,,,1,,,,,,-,,,,,,,,,,,,,
,Sweetgum / Nuttall oak / willow oak,28,23,,,,,,4,,,,,3,,,,,,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Overcup oak / water hickory,3,2,,,,,,1,,,,,-,,,,,,-,,,,,,,,,,,,,
,Atlantic white-cedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Baldcypress / water tupelo,15,11,,,,,,4,,,,,1,,,,,,-,,,,,,,,,,,,,
,Sweetbay / swamp tupelo / red maple,7,4,,,,,,1,,,,,2,,,,,,-,,,,,,,,,,,,,
,Baldcypress / pondcypress,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Black ash / American elm / red maple,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,River birch / sycamore,18,10,,,,,,6,,,,,2,,,,,,-,,,,,,,,,,,,,
,Cottonwood,6,3,,,,,,3,,,,,-,,,,,,-,,,,,,,,,,,,,
,Willow,16,5,,,,,,7,,,,,5,,,,,,-,,,,,,,,,,,,,
,Sycamore / pecan / American elm,43,31,,,,,,7,,,,,5,,,,,,-,,,,,,,,,,,,,
,Sugarberry / hackberry / elm / green ash,96,64,,,,,,22,,,,,11,,,,,,-,,,,,,,,,,,,,
,Silver maple / American elm,4,1,,,,,,3,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red maple / lowland,8,2,,,,,,4,,,,,2,,,,,,-,,,,,,,,,,,,,
,Cottonwood / willow,1,1,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Oregon ash,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sugar maple / beech / yellow birch,47,42,,,,,,4,,,,,2,,,,,,-,,,,,,,,,,,,,
,Black cherry,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Hard maple / basswood,27,24,,,,,,2,,,,,2,,,,,,-,,,,,,,,,,,,,
,Red maple / upland,2,1,,,,,,1,,,,,-,,,,,,-,,,,,,,,,,,,,
,Aspen,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Paper birch,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Gray birch,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Balsam poplar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pin cherry,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red alder,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Bigleaf maple,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Gray pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,California black oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Oregon white oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Blue oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Coast live oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Canyon live oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Interior live oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,California white oak (valley oak),-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Tanoak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,California laurel,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Giant chinkapin,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pacific madrone,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Other hardwoods,10,2,,,,,,1,,,,,7,,,,,,-,,,,,,,,,,,,,
,Miscellaneous woodland hardwoods,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Palms,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Moist forest,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Wet and rain forest,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Lower montane wet and rain forest,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Other tropical hardwoods,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Paulownia,2,2,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Melaleuca,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eucalyptus,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Other exotic hardwoods,9,5,,,,,,4,,,,,-,,,,,,-,,,,,,,,,,,,,
,Nonstocked,11,-,,,,,,-,,,,,-,,,,,,11,,,,,,,,,,,,,
"48 Texas
Ratio estimate:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stand-size class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Forest type,Total,Large diameter,,,,,,Medium diameter,,,,,Small diameter,,,,,,Nonstocked,,,,,,,,,,,,,
,Total,1.0289,0.6005,,,,,,0.4265,,,,,2.7418,,,,,,5.4684,,,,,,,,,,,,,
,Jack pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eastern white pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eastern white pine / eastern hemlock,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eastern hemlock,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Balsam fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,White spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red spruce / balsam fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Black spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Tamarack,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Northern white-cedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Longleaf pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Slash pine,0.3955,0.0232,,,,,,1.6653,,,,,-,,,,,,-,,,,,,,,,,,,,
,Loblolly pine,1.2877,1.0108,,,,,,0.5845,,,,,3.4736,,,,,,-,,,,,,,,,,,,,
,Shortleaf pine,0.4102,0.4133,,,,,,-,,,,,0.4958,,,,,,-,,,,,,,,,,,,,
,Virginia pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sand pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Table Mountain pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pond pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pitch pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Spruce pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eastern redcedar,0.0140,-,,,,,,-,,,,,0.1182,,,,,,-,,,,,,,,,,,,,
,Rocky Mountain juniper,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Juniper woodland,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pinyon / juniper woodland,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Douglas-fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Port-Orford-cedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Ponderosa pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Incense-cedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sugar pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Jeffrey pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Western white pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,White fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Noble fir,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Pacific silver fir,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Engelmann spruce,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Engelmann spruce / subalpine fir,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Grand fir,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Subalpine fir,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Blue spruce,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Mountain hemlock,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Alaska-yellow-cedar,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Lodgepole pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Western hemlock,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Western redcedar,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Sitka spruce,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Western larch,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Redwood,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Giant sequoia,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Knobcone pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Bishop pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Monterey pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Whitebark pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Miscellaneous western softwoods,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Western juniper,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,California mixed conifer,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Scotch pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Other exotic softwoods,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Norway spruce,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Introduced larch,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Eastern white pine / northern red oak / white ash,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Eastern redcedar / hardwood,0.3285,,0.1606,,,,,-,,,,,,0.9977,,,,,,-,,,,,,,,,,,,
,Longleaf pine / oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Shortleaf pine / oak,0.5362,,0.4941,,,,,0.2335,,,,,,2.4758,,,,,,-,,,,,,,,,,,,
,Virginia pine / southern red oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Loblolly pine / hardwood,1.2354,,0.4169,,,,,0.8193,,,,,,3.2748,,,,,,-,,,,,,,,,,,,
,Slash pine / hardwood,9.0225,,9.0225,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Other pine / hardwood,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Post oak / blackjack oak,0.3752,,0.1682,,,,,0.0671,,,,,,2.0486,,,,,,-,,,,,,,,,,,,
,Chestnut oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,White oak / red oak / hickory,1.3165,,0.5947,,,,,0.4858,,,,,,3.4857,,,,,,-,,,,,,,,,,,,
,White oak,0.1756,,0.2398,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Northern red oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Yellow-poplar / white oak / northern red oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Sassafras / persimmon,1.7823,,-,,,,,-,,,,,,2.0933,,,,,,-,,,,,,,,,,,,
,Sweetgum / yellow-poplar,1.3524,,0.3224,,,,,0.1878,,,,,,2.6347,,,,,,-,,,,,,,,,,,,
,Bur oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Scarlet oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Yellow-poplar,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Black walnut,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Black locust,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Southern scrub oak,1.2824,,-,,,,,-,,,,,,1.2824,,,,,,-,,,,,,,,,,,,
,Chestnut oak / black oak / scarlet oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Cherry / white ash / yellow-poplar,0.1482,,-,,,,,-,,,,,,0.3001,,,,,,-,,,,,,,,,,,,
,Elm / ash / black locust,0.2643,,-,,,,,-,,,,,,0.7984,,,,,,-,,,,,,,,,,,,
,Red maple / oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Mixed upland hardwoods,1.1471,,0.2980,,,,,0.3305,,,,,,3.3773,,,,,,-,,,,,,,,,,,,
,Swamp chestnut oak / cherrybark oak,0.1685,,0.2182,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Sweetgum / Nuttall oak / willow oak,0.2733,,0.0985,,,,,0.1023,,,,,,1.2021,,,,,,-,,,,,,,,,,,,
,Overcup oak / water hickory,0.5755,,0.6066,,,,,-,,,,,,0.7078,,,,,,-,,,,,,,,,,,,
,Atlantic white-cedar,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Baldcypress / water tupelo,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Sweetbay / swamp tupelo / red maple,0.5508,,0.1452,,,,,-,,,,,,1.6116,,,,,,-,,,,,,,,,,,,
,Baldcypress / pondcypress,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Black ash / American elm / red maple,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,River birch / sycamore,0.8365,,0.9049,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Cottonwood,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Willow,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Sycamore / pecan / American elm,0.8733,,0.2704,,,,,-,,,,,,4.2414,,,,,,-,,,,,,,,,,,,
,Sugarberry / hackberry / elm / green ash,0.7374,,-,,,,,0.5609,,,,,,2.7598,,,,,,-,,,,,,,,,,,,
,Silver maple / American elm,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Red maple / lowland,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Cottonwood / willow,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Oregon ash,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Sugar maple / beech / yellow birch,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Black cherry,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Hard maple / basswood,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Red maple / upland,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Aspen,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Paper birch,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Gray birch,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Balsam poplar,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Pin cherry,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Red alder,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Bigleaf maple,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Gray pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,California black oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Oregon white oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Blue oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Coast live oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Canyon live oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Interior live oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,California white oak (valley oak),-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Tanoak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,California laurel,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Giant chinkapin,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Pacific madrone,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Other hardwoods,1.0150,,-,,,,,-,,,,,,4.5579,,,,,,-,,,,,,,,,,,,
,Miscellaneous woodland hardwoods,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Palms,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Moist forest,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Wet and rain forest,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Lower montane wet and rain forest,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Other tropical hardwoods,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Paulownia,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Melaleuca,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Eucalyptus,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Other exotic hardwoods,1.1343,,5.6024,,,,,-,,,,,,1.0862,,,,,,-,,,,,,,,,,,,
,Nonstocked,5.4684,,-,,,,,-,,,,,,-,,,,,,5.4684,,,,,,,,,,,,
"48 Texas
Numerator estimate:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stand-size class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
